,,,"Saskatchewan [Province]",,,,,,"Canada [Country]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5,  432620,,,...,,...,14072080,,,...,,...
"Household and dwelling characteristics","  Single-detached house",,  314340,,,...,,..., 7541495,,,...,,...
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,   10520,,,...,,..., 1391040,,,...,,...
"Household and dwelling characteristics","  Other attached dwelling",6,   98435,,,...,,..., 4949795,,,...,,...
"Household and dwelling characteristics","    Semi-detached house",,   12705,,,...,,...,  698800,,,...,,...
"Household and dwelling characteristics","    Row house",,   18535,,,...,,...,  891305,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,    9385,,,...,,...,  784300,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",,   57115,,,...,,..., 2539390,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,     700,,,...,,...,   36005,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,    9325,,,...,,...,  189755,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8,  432625,,,...,,...,14072080,,,...,,...
"Household and dwelling characteristics","  1 person",,  121175,,,...,,..., 3969790,,,...,,...
"Household and dwelling characteristics","  2 persons",,  153610,,,...,,..., 4834605,,,...,,...
"Household and dwelling characteristics","  3 persons",,   60240,,,...,,..., 2140640,,,...,,...
"Household and dwelling characteristics","  4 persons",,   56080,,,...,,..., 1946275,,,...,,...
"Household and dwelling characteristics","  5 or more persons",,   41520,,,...,,..., 1180770,,,...,,...
"Household and dwelling characteristics","Number of persons in private households",, 1070560,,,...,,...,34460060,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.5,,,...,,...,    2.4,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9,  882670,,  435375,,  447290,,29312160,,14271280,,15040885,
"Marital status","  Married or living common law",,  520430,,  261075,,  259355,,16893720,, 8452135,, 8441585,
"Marital status","    Married",,  437875,,  219800,,  218075,,13383455,, 6693465,, 6689990,
"Marital status","    Living common law",,   82550,,   41270,,   41280,, 3510265,, 1758670,, 1751590,
"Marital status","  Not married and not living common law",,  362240,,  174310,,  187930,,12418440,, 5819140,, 6599300,
"Marital status","    Never married",,  242070,,  133750,,  108325,, 8254340,, 4444425,, 3809915,
"Marital status","    Separated",,   19795,,    8945,,   10855,,  718295,,  309905,,  408400,
"Marital status","    Divorced",,   47180,,   20985,,   26200,, 1816005,,  725535,, 1090470,
"Marital status","    Widowed",,   53190,,   10635,,   42555,, 1629800,,  339280,, 1290525,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,  302260,,,...,,..., 9840730,,,...,,...
"Family characteristics","  2 persons",,  157195,,,...,,..., 5007790,,,...,,...
"Family characteristics","  3 persons",,   58770,,,...,,..., 2107830,,,...,,...
"Family characteristics","  4 persons",,   54125,,,...,,..., 1909935,,,...,,...
"Family characteristics","  5 or more persons",,   32170,,,...,,...,  815170,,,...,,...
"Family characteristics","Average size of census families",,    2.9,,,...,,...,    2.9,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,  302260,,,...,,..., 9840730,,,...,,...
"Family characteristics","  Total couple families",,  252765,,,...,,..., 8227925,,,...,,...
"Family characteristics","    Married couples",,  211500,,,...,,..., 6474005,,,...,,...
"Family characteristics","    Common-law couples",,   41265,,,...,,..., 1753920,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,   49495,,,...,,..., 1612805,,,...,,...
"Family characteristics","    Female parent",,   38165,,,...,,..., 1262340,,,...,,...
"Family characteristics","    Male parent",,   11330,,,...,,...,  350465,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,  252770,,,...,,..., 8227925,,,...,,...
"Family characteristics","  Couples without children",,  129085,,,...,,..., 4024305,,,...,,...
"Family characteristics","  Couples with children",,  123685,,,...,,..., 4203615,,,...,,...
"Family characteristics","    1 child",,   45495,,,...,,..., 1650165,,,...,,...
"Family characteristics","    2 children",,   49035,,,...,,..., 1783080,,,...,,...
"Family characteristics","    3 or more children",,   29150,,,...,,...,  770375,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,   49490,,,...,,..., 1612805,,,...,,...
"Family characteristics","  1 child",,   28110,,,...,,...,  983485,,,...,,...
"Family characteristics","  2 children",,   13280,,,...,,...,  457670,,,...,,...
"Family characteristics","  3 or more children",,    8105,,,...,,...,  171655,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,  187765,,   95550,,   92210,, 6107260,, 2941395,, 3165865,
"Household type","Total - Private households by household type - 100% data",12,  432620,,,...,,...,14072075,,,...,,...
"Household type","  One-census-family households",,  285675,,,...,,..., 9218225,,,...,,...
"Household type","    Without children in a census family",13,  124620,,,...,,..., 3782095,,,...,,...
"Household type","    With children in a census family",14,  161055,,,...,,..., 5436135,,,...,,...
"Household type","  Multiple-census-family households",,    7975,,,...,,...,  301715,,,...,,...
"Household type","  Non-census-family households",,  138965,,,...,,..., 4552135,,,...,,...
"Household type","    One-person households",,  121175,,,...,,..., 3969790,,,...,,...
"Household type","    Two-or-more person non-census-family households",,   17795,,,...,,...,  582350,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15, 1083240,,  539100,,  544130,,34767255,,17101170,,17666080,
"Knowledge of official languages","  English only",, 1023400,,  511940,,  511460,,23757525,,11838075,,11919455,
"Knowledge of official languages","  French only",,     535,,     255,,     280,, 4144685,, 1925845,, 2218840,
"Knowledge of official languages","  English and French",,   51360,,   23290,,   28065,, 6216065,, 3071325,, 3144740,
"Knowledge of official languages","  Neither English nor French",,    7945,,    3620,,    4325,,  648970,,  265920,,  383045,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16, 1083240,,  539105,,  544135,,34767250,,17101165,,17666085,
"First official language spoken","  English",, 1060225,,  528155,,  532075,,26007500,,12852330,,13155165,
"First official language spoken","  French",,   13555,,    6590,,    6960,, 7705755,, 3780105,, 3925650,
"First official language spoken","  English and French",,    1770,,     890,,     885,,  417485,,  209130,,  208355,
"First official language spoken","  Neither English nor French",,    7685,,    3475,,    4220,,  636515,,  259600,,  376910,
"First official language spoken","Official language minority (number)",17,   14435,,    7035,,    7405,, 7914495,, 3884670,, 4029825,
"First official language spoken","Official language minority (percentage)",17,    1.3,,    1.3,,    1.4,,   22.8,,   22.7,,   22.8,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18, 1083240,,  539105,,  544135,,34767255,,17101170,,17666085,
"Mother tongue","  Single responses",, 1064675,,  530145,,  534530,,33948620,,16702840,,17245775,
"Mother tongue","    Official languages",,  907715,,  452955,,  454760,,26627555,,13201620,,13425940,
"Mother tongue","      English",,  892615,,  445635,,  446985,,19460850,, 9680125,, 9780725,
"Mother tongue","      French",,   15100,,    7320,,    7775,, 7166705,, 3521495,, 3645215,
"Mother tongue","    Non-official languages",,  156960,,   77195,,   79770,, 7321065,, 3501220,, 3819840,
"Mother tongue","      Aboriginal languages",,   28340,,   13685,,   14660,,  195700,,   94795,,  100900,
"Mother tongue","        Algonquian languages",,   19965,,    9640,,   10325,,  130450,,   62930,,   67520,
"Mother tongue","          Blackfoot",,      10,,       5,,       5,,    2815,,    1325,,    1490,
"Mother tongue","          Cree-Montagnais languages",,   19015,,    9190,,    9825,,   88445,,   42920,,   45530,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,    6150,,    3135,,    3015,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,   10230,,    4885,,    5350,
"Mother tongue","            Moose Cree",,       5,,       0,,       0,,     100,,      50,,      55,
"Mother tongue","            Naskapi",,       5,,       0,,       0,,    1205,,     590,,     620,
"Mother tongue","            Northern East Cree",,      30,,      15,,      10,,     315,,     125,,     190,
"Mother tongue","            Plains Cree",,    2080,,     975,,    1105,,    3065,,    1360,,    1710,
"Mother tongue","            Southern East Cree",,       5,,       5,,       5,,      45,,      20,,      25,
"Mother tongue","            Swampy Cree",,     250,,     115,,     135,,    1440,,     585,,     850,
"Mother tongue","            Woods Cree",,     780,,     370,,     410,,    1840,,     865,,     975,
"Mother tongue","            Cree; n.o.s.",,   15860,,    7710,,    8155,,   64050,,   31305,,   32745,
"Mother tongue","          Eastern Algonquian languages",,       5,,       0,,       5,,    6990,,    3310,,    3680,
"Mother tongue","            Malecite",,       0,,       0,,       0,,     305,,     140,,     160,
"Mother tongue","            Mi'kmaq",,       5,,       5,,       5,,    6690,,    3170,,    3520,
"Mother tongue","          Ojibway-Potawatomi languages",,     935,,     445,,     490,,   32150,,   15350,,   16800,
"Mother tongue","            Algonquin",,       0,,       0,,       0,,    1260,,     590,,     670,
"Mother tongue","            Ojibway",,     925,,     440,,     485,,   17890,,    8440,,    9450,
"Mother tongue","            Oji-Cree",,      10,,       5,,       5,,   12855,,    6260,,    6595,
"Mother tongue","            Ottawa (Odawa)",,       0,,       0,,       0,,     150,,      65,,      85,
"Mother tongue","          Algonquian languages; n.i.e.",,       5,,       0,,       0,,      45,,      25,,      20,
"Mother tongue","        Athabaskan languages",,    7860,,    3800,,    4060,,   17365,,    8325,,    9045,
"Mother tongue","          Northern Athabaskan languages",,    7860,,    3805,,    4055,,   17315,,    8310,,    9010,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,     110,,      55,,      60,
"Mother tongue","            Beaver",,       0,,       0,,       0,,     190,,      85,,     105,
"Mother tongue","            Carrier",,       0,,       0,,       0,,    1025,,     465,,     565,
"Mother tongue","            Chilcotin",,       0,,       0,,       0,,     660,,     295,,     360,
"Mother tongue","            Dene",,    7855,,    3800,,    4055,,   10700,,    5185,,    5515,
"Mother tongue","            Dogrib (Tlicho)",,       0,,       0,,       0,,    1645,,     840,,     815,
"Mother tongue","            Gwich'in",,       0,,       0,,       0,,     260,,     110,,     145,
"Mother tongue","            Sarsi (Sarcee)",,       0,,       0,,       0,,      80,,      25,,      50,
"Mother tongue","            Sekani",,       0,,       0,,       0,,      90,,      45,,      45,
"Mother tongue","            Slavey-Hare languages",,       0,,       0,,       0,,    1995,,     950,,    1045,
"Mother tongue","              North Slavey (Hare)",,       0,,       0,,       0,,     765,,     365,,     400,
"Mother tongue","              South Slavey",,       0,,       0,,       0,,     945,,     455,,     495,
"Mother tongue","              Slavey; n.o.s.",,       0,,       0,,       0,,     280,,     130,,     150,
"Mother tongue","            Tahltan languages",,       0,,       0,,       0,,     270,,     135,,     140,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,     180,,      90,,      90,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,      95,,      40,,      50,
"Mother tongue","            Tutchone languages",,       0,,       0,,       0,,     290,,     120,,     170,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,     215,,      90,,     135,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,      70,,      30,,      40,
"Mother tongue","          Athabaskan languages; n.i.e.",,       5,,       0,,       0,,      50,,      20,,      35,
"Mother tongue","        Haida",,       0,,       0,,       0,,      75,,      35,,      40,
"Mother tongue","        Inuit languages",,      35,,      10,,      20,,   36545,,   18100,,   18445,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       5,,       5,,       0,,    1025,,     445,,     575,
"Mother tongue","          Inuktitut",,      20,,      10,,      15,,   35215,,   17530,,   17680,
"Mother tongue","          Inuit languages; n.i.e.",,      10,,       0,,       5,,     315,,     125,,     185,
"Mother tongue","        Iroquoian languages",,       5,,       0,,       5,,    1115,,     485,,     635,
"Mother tongue","          Cayuga",,       0,,       0,,       0,,      45,,      20,,      20,
"Mother tongue","          Mohawk",,       0,,       0,,       5,,     980,,     430,,     555,
"Mother tongue","          Oneida",,       0,,       0,,       0,,      55,,      20,,      40,
"Mother tongue","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,      35,,      15,,      20,
"Mother tongue","        Kutenai",,       0,,       0,,       0,,     105,,      55,,      55,
"Mother tongue","        Michif",,     235,,     110,,     125,,     465,,     230,,     235,
"Mother tongue","        Salish languages",,       5,,       5,,       0,,    2305,,    1130,,    1180,
"Mother tongue","          Comox",,       0,,       0,,       0,,      80,,      45,,      40,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,     475,,     225,,     245,
"Mother tongue","          Lillooet",,       0,,       0,,       0,,     315,,     155,,     155,
"Mother tongue","          Okanagan",,       0,,       5,,       0,,     270,,     135,,     135,
"Mother tongue","          Shuswap (Secwepemctsin)",,       5,,       0,,       0,,     445,,     225,,     220,
"Mother tongue","          Squamish",,       0,,       0,,       0,,      40,,      20,,      20,
"Mother tongue","          Straits",,       0,,       0,,       0,,      80,,      40,,      40,
"Mother tongue","          Thompson (Ntlakapamux)",,       0,,       5,,       0,,     335,,     150,,     185,
"Mother tongue","          Salish languages; n.i.e.",,       0,,       0,,       0,,     255,,     135,,     125,
"Mother tongue","        Siouan languages",,     230,,     110,,     120,,    4285,,    2070,,    2220,
"Mother tongue","          Dakota",,     195,,      85,,     105,,    1215,,     570,,     635,
"Mother tongue","          Stoney",,       5,,       0,,       0,,    3025,,    1465,,    1555,
"Mother tongue","          Siouan languages; n.i.e.",,      35,,      20,,      15,,      55,,      30,,      25,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,      95,,      40,,      55,
"Mother tongue","        Tsimshian languages",,       5,,       0,,       0,,    1480,,     730,,     755,
"Mother tongue","          Gitxsan (Gitksan)",,       0,,       0,,       0,,     880,,     435,,     445,
"Mother tongue","          Nisga'a",,       5,,       0,,       0,,     400,,     200,,     200,
"Mother tongue","          Tsimshian",,       5,,       5,,       0,,     200,,      90,,     110,
"Mother tongue","        Wakashan languages",,       0,,       0,,       0,,     805,,     370,,     435,
"Mother tongue","          Haisla",,       0,,       0,,       0,,      90,,      40,,      50,
"Mother tongue","          Heiltsuk",,       0,,       0,,       0,,      95,,      40,,      55,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,     325,,     145,,     185,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,     285,,     135,,     140,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,      10,,       5,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,      10,,       5,,       5,,     585,,     295,,     295,
"Mother tongue","      Non-Aboriginal languages",,  128620,,   63510,,   65110,, 7125365,, 3406425,, 3718945,
"Mother tongue","        Afro-Asiatic languages",,    6770,,    3560,,    3215,,  575365,,  298060,,  277300,
"Mother tongue","          Berber languages",,      10,,       5,,       0,,   22135,,   11865,,   10270,
"Mother tongue","            Kabyle",,       5,,       0,,       0,,   13150,,    6995,,    6155,
"Mother tongue","            Berber languages; n.i.e.",,      10,,       5,,       0,,    8985,,    4865,,    4115,
"Mother tongue","          Cushitic languages",,    1050,,     505,,     545,,   42885,,   20095,,   22790,
"Mother tongue","            Bilen",,      55,,      25,,      30,,     805,,     455,,     350,
"Mother tongue","            Oromo",,     195,,     100,,      90,,    4960,,    2560,,    2400,
"Mother tongue","            Somali",,     775,,     355,,     415,,   36755,,   16895,,   19865,
"Mother tongue","            Cushitic languages; n.i.e.",,      25,,      15,,      10,,     365,,     195,,     170,
"Mother tongue","          Semitic languages",,    5685,,    3035,,    2650,,  509190,,  265465,,  243725,
"Mother tongue","            Amharic",,     290,,     140,,     155,,   22465,,   10720,,   11745,
"Mother tongue","            Arabic",,    4040,,    2200,,    1840,,  419890,,  220785,,  199105,
"Mother tongue","            Assyrian Neo-Aramaic",,     305,,     160,,     145,,   16070,,    7910,,    8160,
"Mother tongue","            Chaldean Neo-Aramaic",,     150,,      75,,      75,,    5545,,    2780,,    2770,
"Mother tongue","            Harari",,       5,,       0,,       0,,    1320,,     635,,     685,
"Mother tongue","            Hebrew",,      75,,      45,,      30,,   19530,,   10480,,    9045,
"Mother tongue","            Maltese",,      10,,       5,,       5,,    5565,,    2765,,    2800,
"Mother tongue","            Tigrigna",,     680,,     340,,     340,,   16650,,    8310,,    8340,
"Mother tongue","            Semitic languages; n.i.e.",,     130,,      65,,      60,,    2155,,    1085,,    1070,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,      25,,      15,,       5,,    1155,,     635,,     520,
"Mother tongue","        Austro-Asiatic languages",,    2560,,    1250,,    1305,,  176725,,   81810,,   94920,
"Mother tongue","          Khmer (Cambodian)",,     135,,      70,,      70,,   20130,,    9270,,   10860,
"Mother tongue","          Vietnamese",,    2420,,    1180,,    1235,,  156425,,   72470,,   83955,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,     170,,      65,,     100,
"Mother tongue","        Austronesian languages",,   23415,,   11130,,   12280,,  511480,,  211580,,  299900,
"Mother tongue","          Bikol",,      85,,      40,,      40,,    1790,,     790,,    1000,
"Mother tongue","          Cebuano",,    1545,,     685,,     855,,   19890,,    7930,,   11960,
"Mother tongue","          Fijian",,      25,,      20,,       5,,     745,,     400,,     345,
"Mother tongue","          Hiligaynon",,     255,,     120,,     140,,    6885,,    2680,,    4205,
"Mother tongue","          Ilocano",,     790,,     370,,     415,,   26345,,   10620,,   15720,
"Mother tongue","          Malagasy",,       0,,       0,,       0,,    1430,,     665,,     760,
"Mother tongue","          Malay",,     125,,      55,,      70,,   12275,,    5255,,    7020,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,     175,,      80,,      95,,    4040,,    1865,,    2175,
"Mother tongue","          Pangasinan",,      40,,      15,,      25,,    1390,,     590,,     800,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,   20045,,    9590,,   10455,,  431380,,  178575,,  252810,
"Mother tongue","          Waray-Waray",,      60,,      30,,      35,,    1110,,     430,,     675,
"Mother tongue","          Austronesian languages; n.i.e.",,     265,,     125,,     140,,    4195,,    1770,,    2425,
"Mother tongue","        Creole languages",,     220,,     105,,     120,,   72125,,   32310,,   39820,
"Mother tongue","          Haitian Creole",,       5,,       0,,       5,,    3030,,    1445,,    1590,
"Mother tongue","          Creole; n.o.s.",,     150,,      70,,      80,,   64105,,   28455,,   35660,
"Mother tongue","          Creole languages; n.i.e.",,      65,,      30,,      35,,    4985,,    2410,,    2575,
"Mother tongue","        Dravidian languages",,    1560,,     865,,     700,,  189405,,   94765,,   94640,
"Mother tongue","          Kannada",,      60,,      35,,      30,,    3970,,    2040,,    1935,
"Mother tongue","          Malayalam",,     850,,     455,,     395,,   28570,,   14770,,   13800,
"Mother tongue","          Tamil",,     350,,     200,,     150,,  140720,,   69080,,   71640,
"Mother tongue","          Telugu",,     285,,     165,,     120,,   15655,,    8640,,    7020,
"Mother tongue","          Dravidian languages; n.i.e.",,      10,,      10,,       0,,     490,,     240,,     250,
"Mother tongue","        Hmong-Mien languages",,       0,,       0,,       0,,     795,,     395,,     405,
"Mother tongue","        Indo-European languages",,   73170,,   36230,,   36930,, 3877330,, 1889400,, 1987930,
"Mother tongue","          Albanian",,     380,,     190,,     190,,   26890,,   13610,,   13285,
"Mother tongue","          Armenian",,      70,,      40,,      30,,   33455,,   16270,,   17185,
"Mother tongue","          Balto-Slavic languages",,   18460,,    8490,,    9970,,  701975,,  323640,,  378340,
"Mother tongue","            Baltic languages",,     175,,      85,,      90,,   12530,,    5315,,    7215,
"Mother tongue","              Latvian",,     100,,      45,,      50,,    5455,,    2350,,    3105,
"Mother tongue","              Lithuanian",,      75,,      40,,      35,,    7075,,    2965,,    4115,
"Mother tongue","            Slavic languages",,   18285,,    8400,,    9885,,  689450,,  318325,,  371115,
"Mother tongue","              Belarusan",,       0,,       0,,       0,,     810,,     385,,     430,
"Mother tongue","              Bosnian",,     225,,     110,,     120,,   12210,,    6035,,    6180,
"Mother tongue","              Bulgarian",,      65,,      35,,      30,,   20025,,    9675,,   10345,
"Mother tongue","              Croatian",,     455,,     240,,     220,,   48200,,   23540,,   24665,
"Mother tongue","              Czech",,     235,,     115,,     125,,   22290,,   10525,,   11765,
"Mother tongue","              Macedonian",,      55,,      30,,      30,,   16775,,    8050,,    8725,
"Mother tongue","              Polish",,    1865,,     850,,    1015,,  181710,,   82435,,   99275,
"Mother tongue","              Russian",,    3045,,    1460,,    1580,,  188255,,   85400,,  102855,
"Mother tongue","              Serbian",,     465,,     235,,     225,,   57350,,   28535,,   28815,
"Mother tongue","              Serbo-Croatian",,     120,,      60,,      65,,    9555,,    4565,,    4985,
"Mother tongue","              Slovak",,     115,,      60,,      55,,   17580,,    8075,,    9510,
"Mother tongue","              Slovene (Slovenian)",,      80,,      40,,      45,,    9790,,    4415,,    5370,
"Mother tongue","              Ukrainian",,   11270,,    5035,,    6230,,  102485,,   45440,,   57040,
"Mother tongue","              Slavic languages; n.i.e.",,     290,,     145,,     145,,    2415,,    1255,,    1165,
"Mother tongue","          Celtic languages",,      60,,      30,,      30,,    2690,,    1335,,    1360,
"Mother tongue","            Scottish Gaelic",,      10,,       5,,       5,,    1090,,     540,,     550,
"Mother tongue","            Welsh",,      30,,      10,,      15,,    1075,,     495,,     575,
"Mother tongue","            Celtic languages; n.i.e.",,      25,,      10,,       5,,     530,,     295,,     235,
"Mother tongue","          Germanic languages",,   24455,,   11710,,   12745,,  538765,,  258410,,  280350,
"Mother tongue","            Afrikaans",,     880,,     450,,     430,,   10265,,    5115,,    5145,
"Mother tongue","            Danish",,     255,,     145,,     110,,   12630,,    6245,,    6390,
"Mother tongue","            Dutch",,    1385,,     685,,     700,,   99020,,   48200,,   50820,
"Mother tongue","            Frisian",,      30,,      20,,      10,,    2100,,    1095,,    1005,
"Mother tongue","            German",,   21320,,   10150,,   11170,,  384035,,  183215,,  200820,
"Mother tongue","            Icelandic",,      55,,      20,,      25,,    1285,,     600,,     685,
"Mother tongue","            Norwegian",,     310,,     140,,     165,,    4615,,    2170,,    2445,
"Mother tongue","            Swedish",,     150,,      60,,      90,,    6840,,    3015,,    3825,
"Mother tongue","            Vlaams (Flemish)",,      60,,      25,,      35,,    3895,,    1730,,    2165,
"Mother tongue","            Yiddish",,      25,,      10,,      10,,   13555,,    6750,,    6800,
"Mother tongue","            Germanic languages; n.i.e.",,       5,,       5,,       0,,     525,,     280,,     240,
"Mother tongue","          Greek",,     935,,     490,,     445,,  106525,,   53350,,   53170,
"Mother tongue","          Indo-Iranian languages",,   22335,,   12065,,   10270,, 1312750,,  664120,,  648630,
"Mother tongue","            Indo-Aryan languages",,   19995,,   10780,,    9210,, 1064760,,  538530,,  526235,
"Mother tongue","              Bengali",,    2795,,    1495,,    1300,,   73125,,   37410,,   35720,
"Mother tongue","              Gujarati",,    2510,,    1420,,    1090,,  108780,,   55105,,   53670,
"Mother tongue","              Hindi",,    1545,,     880,,     665,,  110640,,   55880,,   54765,
"Mother tongue","              Kashmiri",,      20,,      10,,      10,,     565,,     300,,     265,
"Mother tongue","              Konkani",,      35,,      15,,      10,,    3330,,    1625,,    1710,
"Mother tongue","              Marathi",,     140,,      80,,      55,,    8295,,    4300,,    3995,
"Mother tongue","              Nepali",,     770,,     400,,     370,,   18275,,    9230,,    9045,
"Mother tongue","              Oriya (Odia)",,      25,,      10,,      10,,    1055,,     560,,     495,
"Mother tongue","              Punjabi (Panjabi)",,    5250,,    2890,,    2360,,  501680,,  253515,,  248160,
"Mother tongue","              Sindhi",,     120,,      65,,      55,,   11860,,    5605,,    6260,
"Mother tongue","              Sinhala (Sinhalese)",,     270,,     130,,     135,,   16335,,    8050,,    8285,
